MN02	MN03	MN04	MN05	MN06	MN07	MN09	MN10	MN11	MN12	MN13	MN14	MN15	MN16	MN17	MQ18	MQ19	
0	0	0	0	12	29	16	0	0	0	0	0	0	0	0	0	0	Listriodon
1	1	9	32	10	11	5	0	0	0	0	0	0	0	0	0	0	Brachypotherium
0	1	1	1	11	15	10	4	1	0	0	0	0	0	0	0	0	Alicornops
0	0	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	Dicerorhinus
0	13	22	50	16	14	4	0	0	0	0	0	0	0	0	0	0	Anchitherium
0	0	17	46	9	7	9	2	3	0	0	0	0	0	0	0	0	Dorcatherium
0	5	17	32	14	14	6	0	0	0	0	0	0	0	0	0	0	Palaeomeryx
0	0	2	11	23	21	10	8	3	0	0	0	0	0	0	0	0	Micromeryx
0	0	1	7	12	3	1	0	0	0	0	0	0	0	0	0	0	Heteroprox
0	0	0	3	5	24	16	2	2	1	0	0	0	0	0	0	0	Euprox
1	3	25	44	11	22	8	0	0	0	0	0	0	0	0	0	0	Gomphotherium
3	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	Metaschizotherium
0	0	0	4	6	2	4	0	0	0	0	0	0	0	0	0	0	Hoploaceratherium
0	0	4	13	7	11	5	0	0	0	0	0	0	0	0	0	0	Lartetotherium
0	0	0	8	12	4	4	0	0	0	0	0	0	0	0	0	0	Pliopithecus
0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	Plesiopliopithecus
0	0	1	14	5	6	6	3	1	0	0	0	0	0	0	0	0	Anisodon
0	0	1	22	10	4	2	0	0	0	0	0	0	0	0	0	0	Dicrocerus
0	0	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	Archaeobelodon
0	0	2	16	10	8	6	0	0	4	4	0	0	0	0	0	0	Zygolophodon
0	0	2	1	5	27	25	6	5	5	0	0	0	0	0	0	0	Deinotherium
0	0	9	17	5	7	0	0	0	0	0	0	0	0	0	0	0	Eotragus
0	1	9	29	6	4	5	0	0	0	0	0	0	0	0	0	0	Prodeinotherium
0	0	0	0	0	9	5	0	0	0	0	0	0	0	0	0	0	Dryopithecus
0	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	Protragocerus
0	0	0	11	7	3	0	0	0	0	0	0	0	0	0	0	0	Tethytragus
0	8	16	30	7	2	0	0	1	0	0	0	0	0	0	0	0	Lagomeryx
0	17	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0	Procervulus
0	1	7	24	4	0	0	0	0	0	0	0	0	0	0	0	0	Amphimoschus
1	9	14	22	3	0	0	0	0	0	0	0	0	0	0	0	0	Plesiaceratherium
0	2	10	24	2	1	0	0	0	0	0	0	0	0	0	0	0	Prosantorhinus
11	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protaceratherium
1	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Brachyodus
9	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Diaceratherium
12	14	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Amphitragulus
0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	Orygotherium
1	3	0	1	0	0	10	1	1	0	1	2	3	4	1	0	0	Tapirus
0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	Hispanotherium
0	0	0	8	2	2	0	0	0	0	0	0	0	0	0	0	0	Stehlinoceros
0	0	0	2	0	5	20	4	5	10	5	0	1	0	0	0	0	Miotragocerus
0	0	3	2	1	3	18	9	3	4	1	0	0	0	0	0	0	Aceratherium
0	0	0	0	0	0	10	9	4	6	5	2	0	0	0	0	0	Dihoplus
0	0	0	0	0	1	29	11	6	4	8	0	0	0	0	0	0	Hippotherium
0	0	3	6	0	1	11	1	1	1	0	0	0	0	0	0	0	Chalicotherium
0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	Amphiprox
0	0	0	0	0	3	19	8	4	6	3	0	0	0	0	0	0	Tetralophodon
0	0	0	0	0	2	7	2	0	0	0	0	0	0	0	0	0	Hispanopithecus
0	0	0	0	0	0	5	6	3	12	15	3	3	0	1	0	0	Hipparion
0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	Decennatherium
0	0	0	0	6	5	2	1	1	0	0	0	0	0	0	0	0	Hispanomeryx
0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Triceromeryx
0	0	0	0	0	0	0	2	1	1	6	1	0	0	0	0	0	Tragoportax
0	0	0	0	0	0	0	1	1	6	3	4	4	6	7	0	0	Gazella
0	0	0	0	0	0	0	2	2	0	11	0	0	0	0	0	0	Cremohipparion
0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	Birgerbohlinia
0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	Pliohyrax
0	0	0	0	0	0	0	0	0	5	3	0	1	0	0	0	0	Hispanodorcas
0	0	0	0	0	0	1	0	2	3	2	1	1	3	0	0	1	Procapreolus
0	0	0	0	0	0	0	0	1	3	2	9	3	7	6	0	0	Anancus
0	0	0	0	0	0	0	0	0	0	1	4	2	6	9	1	0	Croizetoceros
0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	Hexaprotodon
0	0	0	0	0	0	0	0	0	0	5	5	0	2	0	0	0	Parabos
0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	Pliocervus
0	0	0	0	0	0	0	0	1	1	4	1	3	2	0	0	0	Mesopithecus
0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	Tragoreas
0	0	0	0	0	0	0	1	1	1	0	4	1	0	0	0	0	Protoryx
0	0	0	1	0	0	0	0	0	0	3	6	8	10	11	2	23	Stephanorhinus
0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	Plesiohipparion
0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	Alephis
0	0	0	0	0	0	0	0	0	0	0	5	3	7	9	1	44	Cervus
0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	Maremmia
0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	Oreopithecus
0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	Dolichopithecus
0	0	0	0	0	0	0	0	0	1	1	0	3	5	0	0	0	Mammut
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	18	Capreolus
0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	2	30	Mammuthus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	Gallogoral
0	0	0	0	0	0	0	0	0	0	0	0	1	2	9	0	0	Gazellospira
0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	1	1	Eucladoceros
0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	3	54	Equus
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	Hemitragus
0	0	0	0	0	0	0	0	0	0	0	0	1	3	11	1	0	Leptobos
0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	Paradolichopithecus
4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oriomeryx
7	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Andegameryx
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	Alces
11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Dremotherium
11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pomelomeryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	Bison
0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ligeromeryx
0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Acteocemas
7	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Paratapirus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	Rangifer
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Bos
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	Dama
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	Hippopotamus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	Megaloceros
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	Coelodonta
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	Ovibos
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	Capra
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	Rupicapra
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Palaeoloxodon
